command,mean,stddev,median,user,system,min,max,parameter_NAME
./prng-dump -l 1 mumx_mumx_x1,0.06389918229787236,0.002301040891245722,0.06314789600000001,0.060467191489361694,0.0024559361702127663,0.061022110000000004,0.073823161,mumx_mumx_x1
./prng-dump -l 1 mumx_mumx_x2,0.0842244905,0.0018050905068205114,0.08402188600000002,0.08053861764705882,0.0024682647058823534,0.08145534800000001,0.08908977300000001,mumx_mumx_x2
./prng-dump -l 1 murmurhash3,0.05777607352083333,0.0020324480003034166,0.057642516000000005,0.05419535416666663,0.002764729166666667,0.054288972000000005,0.066467861,murmurhash3
./prng-dump -l 1 murmurhash3_32,0.029525971915789467,0.0012342343221968925,0.029364363,0.02652602105263158,0.0024465263157894728,0.027126001,0.035036429,murmurhash3_32
./prng-dump -l 1 mx3,0.08240989613888892,0.0020847141290428447,0.08215583300000001,0.07894436111111114,0.002365527777777778,0.078515524,0.08814729,mx3
./prng-dump -l 1 nasam,0.0818595582972973,0.0020025387181749517,0.08183978800000001,0.07807586486486487,0.002667432432432432,0.076870307,0.086319769,nasam
./prng-dump -l 1 pcg32,0.2167772551538462,0.007292029234177123,0.21427753700000002,0.21094953846153844,0.0022133076923076924,0.21049162400000002,0.238812558,pcg32
./prng-dump -l 1 pcg32_fast,0.21328574442857146,0.0029250184688846986,0.212263582,0.20859999999999998,0.0017890714285714283,0.21003068200000002,0.21951861800000003,pcg32_fast
./prng-dump -l 1 pcg64,0.17679812229411765,0.003854923548280903,0.17600979500000002,0.1721294705882353,0.002735882352941176,0.171316728,0.18468044900000002,pcg64
./prng-dump -l 1 pcg64dxsm,0.14088620223809525,0.0031452172688246813,0.1396395,0.13614171428571425,0.0030561904761904762,0.13706939,0.149694878,pcg64dxsm
./prng-dump -l 1 romu_duo,0.19723032333333332,0.002849714979525261,0.19730967200000002,0.1921536666666667,0.0030393333333333327,0.19194101500000002,0.20250652900000002,romu_duo
./prng-dump -l 1 romu_duo_jr,0.14803060745000002,0.002172313179586594,0.1479931485,0.14265089999999997,0.0036027499999999996,0.144561652,0.151978059,romu_duo_jr
./prng-dump -l 1 romu_quad,0.1747020468823529,0.004085997595317403,0.173663583,0.1699678823529412,0.002849529411764706,0.168975496,0.183148473,romu_quad
./prng-dump -l 1 romu_quad32,0.3338886593,0.0037047492465244027,0.33371608799999997,0.3275417,0.0032088,0.327228956,0.339645611,romu_quad32
./prng-dump -l 1 romu_trio,0.16029060452631583,0.005938297644053298,0.158434491,0.15641873684210528,0.0020250000000000003,0.155377275,0.181266469,romu_trio
./prng-dump -l 1 romu_trio32,0.32809249960000003,0.003543433931946559,0.326951886,0.3231419,0.0019609000000000002,0.323977459,0.335678988,romu_trio32
./prng-dump -l 1 rrma2xsm2xs,0.46484991249999996,0.004367875741824127,0.4637322385,0.4572054999999999,0.0032237999999999998,0.45938986800000003,0.47453930200000005,rrma2xsm2xs
./prng-dump -l 1 rrmxmx,0.07119856892857143,0.0027370777491368984,0.07019594700000001,0.06797002380952381,0.0020445238095238094,0.068180303,0.082951223,rrmxmx
./prng-dump -l 1 rrxmrrxmsx_0,0.08672525320588234,0.00495487602236474,0.085454335,0.08328991176470586,0.0021180882352941177,0.082758208,0.10954464400000001,rrxmrrxmsx_0
./prng-dump -l 1 seiran,0.12412204766666668,0.004686536167353388,0.122838866,0.12020987500000001,0.002404375,0.118927507,0.14284860700000002,seiran
./prng-dump -l 1 sfc32,0.15884199868421053,0.006326181814322288,0.157021708,0.1548146842105263,0.0021948421052631574,0.152196043,0.17915956000000002,sfc32
./prng-dump -l 1 sfc64,0.08417011613888888,0.0033813392206767704,0.0828860245,0.08085244444444445,0.001970666666666667,0.080722403,0.09488789900000001,sfc64
./prng-dump -l 1 sha1_ctr_128,0.1576596320526316,0.0022411153055867912,0.157074703,0.15282531578947367,0.0030771578947368424,0.154473095,0.163925857,sha1_ctr_128
./prng-dump -l 1 sha1_ctr_64,0.3082171389,0.007564695541403353,0.30917181000000005,0.29989619999999995,0.0051054,0.288979088,0.31620268500000004,sha1_ctr_64
./prng-dump -l 1 sha256_ctr_128,0.159001796,0.004462811107469944,0.158040873,0.15489026315789475,0.002539842105263158,0.15538110600000002,0.175933571,sha256_ctr_128
./prng-dump -l 1 sha256_ctr_64,0.3123535853,0.005129300706495747,0.3113239345,0.3068235,0.0029164000000000004,0.307522933,0.323791528,sha256_ctr_64
./prng-dump -l 1 shioi,0.10419399840740745,0.0030832808904829,0.10348861200000001,0.10040488888888889,0.0023687407407407407,0.100602146,0.11719143700000001,shioi
./prng-dump -l 1 splitmix32,0.11891254376,0.006479325599040489,0.1169546,0.11548,0.0021188399999999994,0.11434074600000001,0.14474166900000002,splitmix32
./prng-dump -l 1 splitmix64,0.05585565596226418,0.0017946359336765538,0.055426453,0.05259150943396227,0.0023828113207547174,0.053439993000000005,0.061387660000000004,splitmix64
./prng-dump -l 1 splitxix33,0.05822438014285715,0.0013483003905538657,0.058126229,0.05466318367346938,0.0027307346938775508,0.055334032000000005,0.062891221,splitxix33
./prng-dump -l 1 squares32,0.3022418282,0.00649433224953611,0.30047452750000003,0.29677570000000003,0.0021271,0.29494090700000003,0.31316841100000004,squares32
./prng-dump -l 1 squares64,0.19648749586666664,0.006644678917816616,0.194256747,0.19181926666666665,0.002864333333333333,0.189188871,0.21554112700000003,squares64
./prng-dump -l 1 stc_crand32,0.15821387450000002,0.0028540943984208408,0.1573418445,0.15484877777777775,0.0017043333333333333,0.15490383200000002,0.165363534,stc_crand32
./prng-dump -l 1 stc_crand64,0.0823971858611111,0.0017620004157560415,0.082026787,0.07903974999999999,0.002213777777777778,0.07972733800000001,0.086942271,stc_crand64
./prng-dump -l 1 std::default_random_engine,0.36820016750000006,0.007068148814303126,0.367937595,0.360917,0.0029155999999999995,0.360422874,0.384350091,std::default_random_engine
./prng-dump -l 1 std::knuth_b,0.9721928449000001,0.009582412896290608,0.9685052625000001,0.958123,0.0060602,0.9616842990000001,0.9947773480000001,std::knuth_b
./prng-dump -l 1 std::minstd_rand,0.3654832987,0.0037633490555828873,0.36444955850000005,0.3593407,0.0029386000000000004,0.36086840400000003,0.371279684,std::minstd_rand
./prng-dump -l 1 std::minstd_rand0,0.3667941389,0.006002250688670404,0.3652881335,0.36092399999999997,0.0024435,0.360001112,0.380782477,std::minstd_rand0
./prng-dump -l 1 std::mt19937,0.16484226266666668,0.002945477936578854,0.1652570605,0.1614437777777778,0.0014597222222222223,0.158355843,0.169611329,std::mt19937
./prng-dump -l 1 std::mt19937_64,0.15073845900000002,0.0038644357863349492,0.150790487,0.1451845263157895,0.0037455789473684223,0.142751974,0.161576464,std::mt19937_64
./prng-dump -l 1 std::ranlux24,4.6163906085,0.023852527692824428,4.615892553,4.5712541,0.0085509,4.584425072,4.65455264,std::ranlux24
./prng-dump -l 1 std::ranlux24_base,0.4984743292,0.0067021429053548956,0.49642333650000003,0.4909307,0.0031864,0.48967157200000005,0.511745521,std::ranlux24_base
./prng-dump -l 1 std::ranlux48,13.983695294099999,0.09992678622495264,13.9916614665,13.8681745,0.0120567,13.840320147,14.11614755,std::ranlux48
./prng-dump -l 1 std::ranlux48_base,0.4033648196,0.0053574702780788625,0.4019988685,0.3940974,0.0042589,0.39606653,0.412592905,std::ranlux48_base
./prng-dump -l 1 ttwanghash64,0.05583387259999999,0.0021652827961767714,0.055461189,0.05203390909090909,0.0026938727272727277,0.052852048000000006,0.06700845400000001,ttwanghash64
./prng-dump -l 1 wyrand,0.05231904314035087,0.0017830466396077974,0.051956825000000005,0.049159122807017536,0.0020996842105263157,0.049578608,0.062507852,wyrand
./prng-dump -l 1 xoroshiro1024plusplus,0.11503025373076924,0.0027657212536253833,0.1146735145,0.10981330769230767,0.003294307692307693,0.111265863,0.12266903900000001,xoroshiro1024plusplus
./prng-dump -l 1 xoroshiro1024starstar,0.11212459480769234,0.003135979387984597,0.1115632165,0.10778876923076922,0.0028341538461538465,0.10724428400000001,0.12274325600000001,xoroshiro1024starstar
./prng-dump -l 1 xoroshiro128plusplus,0.10384243582142859,0.0031675422120470646,0.10283386900000001,0.09993878571428572,0.002644749999999999,0.100643224,0.11316371900000001,xoroshiro128plusplus
./prng-dump -l 1 xoroshiro128starstar,0.10089004672413796,0.0036719367474001073,0.10001873900000001,0.09667696551724138,0.0026877586206896556,0.09781408800000001,0.115986341,xoroshiro128starstar
./prng-dump -l 1 xoroshiro64starstar,0.21535077250000004,0.005491689885408526,0.21538097050000002,0.21142378571428572,0.0016362857142857145,0.209667448,0.23182703200000002,xoroshiro64starstar
./prng-dump -l 1 xoshiro128plusplus,0.180066697125,0.0020411429178486193,0.180349264,0.17308731250000003,0.004956562499999999,0.175650145,0.183326975,xoshiro128plusplus
./prng-dump -l 1 xoshiro128starstar,0.17945613618749998,0.005193647177700914,0.178450819,0.17405343749999996,0.0036456875,0.175432747,0.196808287,xoshiro128starstar
./prng-dump -l 1 xoshiro256plusplus,0.09698183300000002,0.0013862156412774314,0.09654932100000001,0.09376387096774191,0.0020189677419354835,0.09528244500000001,0.10198689500000001,xoshiro256plusplus
./prng-dump -l 1 xoshiro256starstar,0.0949781023870968,0.002303384628313165,0.094356807,0.09181590322580645,0.001812967741935484,0.09196778,0.10017238,xoshiro256starstar
./prng-dump -l 1 xoshiro512plusplus,0.10489324057692309,0.0026559703982487037,0.10468210450000001,0.10150088461538459,0.0019750769230769227,0.101678787,0.11300132900000001,xoshiro512plusplus
./prng-dump -l 1 xoshiro512starstar,0.10453669839285715,0.0025430478489307743,0.1041516365,0.10101571428571425,0.0020706428571428573,0.100053152,0.11232201500000001,xoshiro512starstar
./prng-dump -l 1 xsm32,0.2676023621818182,0.005735511326299103,0.26550455700000003,0.2621792727272727,0.0026066363636363635,0.262376226,0.277810206,xsm32
./prng-dump -l 1 xsm64,0.1290300670869565,0.004085718414707033,0.12805011700000002,0.12467339130434783,0.002812478260869565,0.124318774,0.142307881,xsm64
./prng-dump -l 1 xxh32_avalanche,0.030010979917525774,0.0020476819211233542,0.029881828000000003,0.026823474226804107,0.0023618659793814426,0.027438286000000003,0.046079631,xxh32_avalanche
./prng-dump -l 1 xxh3_avalanche,0.034384767464285725,0.0013536023690650593,0.0342420765,0.03164235714285714,0.0019413452380952388,0.032012123,0.041705548,xxh3_avalanche
./prng-dump -l 1 xxh3_rrmxmx,0.07117293074418604,0.0019889208511986753,0.070464605,0.06726513953488372,0.002694488372093023,0.06860719,0.07721417800000001,xxh3_rrmxmx
./prng-dump -l 1 xxh64_avalanche,0.05789218477358492,0.005406618755482529,0.056755235,0.054080452830188676,0.002651226415094339,0.054769399,0.09439821400000001,xxh64_avalanche
